location,price,amount,quality,date
"Honolulu,Hawaii",$45,an eighth,medium quality,"September 25, 2013"
"Hilo,Hawaii",$250,an ounce,high quality,"September 25, 2013"
"Mountain View,Hawaii",$25,an eighth,high quality,"September 24, 2013"
"Honolulu,Hawaii",$5,an ounce,high quality,"September 24, 2013"
"Honolulu,Hawaii",$100,an ounce,medium quality,"September 18, 2013"
"Honolulu,Hawaii",$10,10 grams,medium quality,"September 18, 2013"
"Kapolei,Hawaii",$40,an eighth,medium quality,"September 17, 2013"
"Honolulu,Hawaii",$300,an ounce,medium quality,"September 16, 2013"
"Hilo,Hawaii",$200,an ounce,medium quality,"September 15, 2013"
"Kailua Kona,Hawaii",$50,5 grams,medium quality,"September 14, 2013"
"Kapolei,Hawaii",$160,a half ounce,high quality,"September 13, 2013"
"Honolulu,Hawaii",$260,an ounce,high quality,"September 12, 2013"
"Kaneohe,Hawaii",$100,5 grams,high quality,"September 12, 2013"
"Kaneohe,Hawaii",$440,an ounce,high quality,"September 12, 2013"
"Honolulu,Hawaii",$150,an ounce,high quality,"September 11, 2013"
"Kalaheo,Hawaii",$300,5 grams,high quality,"September 10, 2013"
"Hanapepe,Hawaii",$30,an ounce,medium quality,"September 10, 2013"
"Honolulu,Hawaii",$88,5 grams,high quality,"September 10, 2013"
"Waianae,Hawaii",$350,an ounce,medium quality,"September 7, 2013"
"Honolulu,Hawaii",$400,an ounce,low quality,"September 7, 2013"
"Wailuku,Hawaii",$240,an ounce,medium quality,"September 6, 2013"
"Hawi,Hawaii",$60,an ounce,high quality,"September 6, 2013"
"Lahaina,Hawaii",$50,an ounce,medium quality,"September 4, 2013"
"Kapaa,Hawaii",$50,5 grams,low quality,"September 3, 2013"
"Kaunakakai,Hawaii",$300,an ounce,medium quality,"September 2, 2013"
"Haleiwa,Hawaii",$300,an ounce,medium quality,"September 2, 2013"
"Le Roy,Hawaii",$50,an eighth,medium quality,"August 31, 2013"
"Hilo,Hawaii",$20,5 grams,medium quality,"August 31, 2013"
"Honolulu,Hawaii",$100,a quarter,high quality,"August 30, 2013"
"Aiea,Hawaii",$5,an ounce,medium quality,"August 29, 2013"
"Hilo,Hawaii",$200,an ounce,medium quality,"August 29, 2013"
"Kailua Kona,Hawaii",$400,an ounce,high quality,"August 27, 2013"
"Kealakekua,Hawaii",$40,an eighth,high quality,"August 27, 2013"
"Aiea,Hawaii",$70,a quarter,high quality,"August 26, 2013"
"Ewa Beach,Hawaii",$60,an eighth,high quality,"August 25, 2013"
"Lahaina,Hawaii",$150,a half ounce,medium quality,"August 20, 2013"
"Kihei,Hawaii",$120,a half ounce,medium quality,"August 19, 2013"
"Honolulu,Hawaii",$300,an ounce,high quality,"August 19, 2013"
"Waialua,Hawaii",$20,20 grams,medium quality,"August 17, 2013"
"Hanalei,Hawaii",$125,a half ounce,medium quality,"August 17, 2013"
"Kailua Kona,Hawaii",$140,a quarter,high quality,"August 16, 2013"
"Hilo,Hawaii",$420,an ounce,high quality,"August 16, 2013"
"Aiea,Hawaii",$50,5 grams,high quality,"August 16, 2013"
"Honolulu,Hawaii",$100,an eighth,high quality,"August 16, 2013"
"Honolulu,Hawaii",$300,an ounce,high quality,"August 15, 2013"
"Honolulu,Hawaii",$220,a half ounce,high quality,"August 14, 2013"
"Honolulu,Hawaii",$110,a half ounce,high quality,"August 14, 2013"
"Waimanalo,Hawaii",$60,an eighth,medium quality,"August 14, 2013"
"Kailua Kona,Hawaii",$80,an ounce,high quality,"August 12, 2013"
"Hilo,Hawaii",$100,an ounce,medium quality,"August 11, 2013"
"Honolulu,Hawaii",$100,an ounce,high quality,"August 9, 2013"
"Kailua Kona,Hawaii",$100,an ounce,medium quality,"August 7, 2013"
"Hilo,Hawaii",$200,an ounce,high quality,"August 7, 2013"
"Honolulu,Hawaii",$300,an ounce,medium quality,"August 7, 2013"
"Hilo,Hawaii",$125,an ounce,medium quality,"August 7, 2013"
"Kailua,Hawaii",$170,a half ounce,high quality,"August 6, 2013"
"Honolulu,Hawaii",$125,a half ounce,medium quality,"August 6, 2013"
"Honolulu,Hawaii",$85,a quarter,medium quality,"August 5, 2013"
"Kihei,Hawaii",$150,a quarter,medium quality,"August 4, 2013"
"Aiea,Hawaii",$20,a quarter,medium quality,"August 3, 2013"
"Honolulu,Hawaii",$50,an ounce,high quality,"August 2, 2013"
"Waimanalo,Hawaii",$20,20 grams,medium quality,"July 31, 2013"
"Haleiwa,Hawaii",$300,an ounce,high quality,"July 31, 2013"
"Kihei,Hawaii",$20,an ounce,high quality,"July 30, 2013"
"Kailua Kona,Hawaii",$80,a quarter,medium quality,"July 29, 2013"
"Honolulu,Hawaii",$40,an eighth,medium quality,"July 29, 2013"
"Honolulu,Hawaii",$45,an eighth,medium quality,"July 29, 2013"
"Kaunakakai,Hawaii",$20,a half ounce,medium quality,"July 24, 2013"
"Honolulu,Hawaii",$40,an eighth,medium quality,"July 23, 2013"
"Kapaa,Hawaii",$200,5 grams,high quality,"July 23, 2013"
"Honolulu,Hawaii",$100,an ounce,high quality,"July 21, 2013"
"Honolulu,Hawaii",$400,an ounce,medium quality,"July 20, 2013"
"Aiea,Hawaii",$60,a quarter,high quality,"July 20, 2013"
"Lahaina,Hawaii",$60,an eighth,medium quality,"July 19, 2013"
"Pearl City,Hawaii",$35,a quarter,high quality,"July 15, 2013"
"Hilo,Hawaii",$100,a quarter,medium quality,"July 15, 2013"
"Honolulu,Hawaii",$60,an ounce,medium quality,"July 11, 2013"
"Kaneohe,Hawaii",$300,an ounce,high quality,"July 5, 2013"
"Honolulu,Hawaii",$20,a gram,medium quality,"July 4, 2013"
"Honolulu,Hawaii",$500,an ounce,medium quality,"July 4, 2013"
"Honolulu,Hawaii",$300,an ounce,medium quality,"July 3, 2013"
"Honolulu,Hawaii",$120,an ounce,high quality,"July 2, 2013"
"Hawi,Hawaii",$200,an ounce,high quality,"July 2, 2013"
"Honolulu,Hawaii",$60,an eighth,medium quality,"June 25, 2013"
"Kaneohe,Hawaii",$50,an eighth,medium quality,"June 25, 2013"
"Honolulu,Hawaii",$50,an eighth,medium quality,"June 24, 2013"
"Hilo,Hawaii",$100,a quarter,medium quality,"June 24, 2013"
"Honolulu,Hawaii",$150,a half ounce,high quality,"June 23, 2013"
"Honolulu,Hawaii",$75,a quarter,high quality,"June 21, 2013"
"Kailua,Hawaii",$225,an ounce,medium quality,"June 21, 2013"
"Honolulu,Hawaii",$275,an ounce,medium quality,"June 21, 2013"
"Kula,Hawaii",$50,an eighth,high quality,"June 21, 2013"
"Honolulu,Hawaii",$250,a half ounce,high quality,"June 20, 2013"
"Honolulu,Hawaii",$300,a half ounce,medium quality,"June 18, 2013"
"Honolulu,Hawaii",$85,a quarter,medium quality,"June 18, 2013"
"Kailua,Hawaii",$55,an eighth,high quality,"June 17, 2013"
"Ewa Beach,Hawaii",$45,an eighth,medium quality,"June 15, 2013"
"Lahaina,Hawaii",$130,a half ounce,high quality,"June 15, 2013"
"Kihei,Hawaii",$45,an eighth,high quality,"June 15, 2013"
"Hauula,Hawaii",$250,an ounce,medium quality,"June 14, 2013"
"Kapolei,Hawaii",$200,a half ounce,medium quality,"June 14, 2013"
"Aiea,Hawaii",$200,10 grams,medium quality,"June 13, 2013"
"Pearl City,Hawaii",$30,an ounce,medium quality,"June 11, 2013"
"Honolulu,Hawaii",$100,an eighth,high quality,"June 11, 2013"
"Hilo,Hawaii",$100,a quarter,medium quality,"June 10, 2013"
"Anahola,Hawaii",$500,5 grams,high quality,"June 10, 2013"
"Ewa Beach,Hawaii",$20,an ounce,medium quality,"June 7, 2013"
"Honokaa,Hawaii",$50,an eighth,medium quality,"June 5, 2013"
"Haleiwa,Hawaii",$45,an eighth,medium quality,"June 5, 2013"
"Honolulu,Hawaii",$260,an ounce,medium quality,"May 30, 2013"
"Ocean View,Hawaii",$100,a half ounce,high quality,"May 30, 2013"
"Kahului,Hawaii",$350,an ounce,high quality,"May 30, 2013"
"Mililani,Hawaii",$300,an ounce,medium quality,"May 26, 2013"
"Honolulu,Hawaii",$280,an ounce,high quality,"May 26, 2013"
"Pearl City,Hawaii",$300,an ounce,high quality,"May 25, 2013"
"Pearl City,Hawaii",$310,an ounce,medium quality,"May 25, 2013"
"Lahaina,Hawaii",$60,an eighth,high quality,"May 23, 2013"
"Aiea,Hawaii",$300,an ounce,high quality,"May 21, 2013"
"Mililani,Hawaii",$10,an ounce,medium quality,"May 21, 2013"
"Honolulu,Hawaii",$100,an ounce,medium quality,"May 19, 2013"
"Kaneohe,Hawaii",$200,an ounce,medium quality,"May 17, 2013"
"Lahaina,Hawaii",$100,a quarter,medium quality,"May 15, 2013"
"Kaneohe,Hawaii",$50,an eighth,medium quality,"May 15, 2013"
"Kapolei,Hawaii",$240,an ounce,medium quality,"May 14, 2013"
"Honolulu,Hawaii",$50,an ounce,medium quality,"May 7, 2013"
"Ewa Beach,Hawaii",$40,an eighth,high quality,"May 7, 2013"
"Honolulu,Hawaii",$300,an ounce,medium quality,"May 7, 2013"
"Honolulu,Hawaii",$10,an ounce,medium quality,"May 6, 2013"
"Waipahu,Hawaii",$35,an eighth,medium quality,"May 5, 2013"
"Kailua,Hawaii",$200,a half ounce,high quality,"May 3, 2013"
"Wahiawa,Hawaii",$70,an eighth,high quality,"May 1, 2013"
"Honolulu,Hawaii",$375,an ounce,high quality,"May 1, 2013"
"Honolulu,Hawaii",$320,an ounce,high quality,"May 1, 2013"
"Kilauea,Hawaii",$300,an ounce,medium quality,"April 29, 2013"
"Kapolei,Hawaii",$40,an eighth,medium quality,"April 28, 2013"
"Wailuku,Hawaii",$20,an eighth,high quality,"April 28, 2013"
"Ewa Beach,Hawaii",$20,5 grams,medium quality,"April 26, 2013"
"Waianae,Hawaii",$300,an ounce,high quality,"April 26, 2013"
