,amount,city,date,ppg,price,quality,state,state.name
0,3.54,Honolulu,2013-09-25,12.71,45,medium,HI,Hawaii
1,28.3,Hilo,2013-09-25,8.83,250,high,HI,Hawaii
2,3.54,Mountain View,2013-09-24,7.06,25,high,HI,Hawaii
3,28.3,Honolulu,2013-09-24,0.18,5,high,HI,Hawaii
4,28.3,Honolulu,2013-09-18,3.53,100,medium,HI,Hawaii
5,10.0,Honolulu,2013-09-18,1.0,10,medium,HI,Hawaii
6,3.54,Kapolei,2013-09-17,11.3,40,medium,HI,Hawaii
7,28.3,Honolulu,2013-09-16,10.6,300,medium,HI,Hawaii
8,28.3,Hilo,2013-09-15,7.07,200,medium,HI,Hawaii
9,5.0,Kailua Kona,2013-09-14,10.0,50,medium,HI,Hawaii
10,14.15,Kapolei,2013-09-13,11.31,160,high,HI,Hawaii
11,28.3,Honolulu,2013-09-12,9.19,260,high,HI,Hawaii
12,5.0,Kaneohe,2013-09-12,20.0,100,high,HI,Hawaii
13,28.3,Kaneohe,2013-09-12,15.55,440,high,HI,Hawaii
14,28.3,Honolulu,2013-09-11,5.3,150,high,HI,Hawaii
15,5.0,Kalaheo,2013-09-10,60.0,300,high,HI,Hawaii
16,28.3,Hanapepe,2013-09-10,1.06,30,medium,HI,Hawaii
17,5.0,Honolulu,2013-09-10,17.6,88,high,HI,Hawaii
18,28.3,Waianae,2013-09-07,12.37,350,medium,HI,Hawaii
19,28.3,Honolulu,2013-09-07,14.13,400,low,HI,Hawaii
20,28.3,Wailuku,2013-09-06,8.48,240,medium,HI,Hawaii
21,28.3,Hawi,2013-09-06,2.12,60,high,HI,Hawaii
22,28.3,Lahaina,2013-09-04,1.77,50,medium,HI,Hawaii
23,5.0,Kapaa,2013-09-03,10.0,50,low,HI,Hawaii
24,28.3,Kaunakakai,2013-09-02,10.6,300,medium,HI,Hawaii
25,28.3,Haleiwa,2013-09-02,10.6,300,medium,HI,Hawaii
26,3.54,Le Roy,2013-08-31,14.12,50,medium,HI,Hawaii
27,5.0,Hilo,2013-08-31,4.0,20,medium,HI,Hawaii
28,7.075,Honolulu,2013-08-30,14.13,100,high,HI,Hawaii
29,28.3,Aiea,2013-08-29,0.18,5,medium,HI,Hawaii
30,28.3,Hilo,2013-08-29,7.07,200,medium,HI,Hawaii
31,28.3,Kailua Kona,2013-08-27,14.13,400,high,HI,Hawaii
32,3.54,Kealakekua,2013-08-27,11.3,40,high,HI,Hawaii
33,7.075,Aiea,2013-08-26,9.89,70,high,HI,Hawaii
34,3.54,Ewa Beach,2013-08-25,16.95,60,high,HI,Hawaii
35,14.15,Lahaina,2013-08-20,10.6,150,medium,HI,Hawaii
